lat,long,time,alt,speed,bearing
59.434922,24.960775,0,123.456,13.53080825,60.93802967
59.434922,24.960775,1000,123.456,13.30455847,64.10196657
59.434922,24.960775,2000,123.456,13.83059357,66.53166069
59.434922,24.960775,3000,123.456,13.64020102,68.82909662
59.434922,24.960775,4000,123.456,14.11343564,69.55900237
59.434922,24.960775,5000,123.456,14.08612982,71.07919728
59.434922,24.960775,6000,123.456,14.19895879,73.63651651
59.434922,24.960775,7000,123.456,14.71578797,75.02140829
59.434922,24.960775,8000,123.456,14.79350823,76.19934608
59.434922,24.960775,9000,123.456,14.4849045,78.24756194
59.434922,24.960775,10000,123.456,14.8994673,80.0455765
59.434922,24.960775,11000,123.456,14.80444721,81.18618913
59.434922,24.960775,12000,123.456,15.32291491,82.10123479
59.434922,24.960775,13000,123.456,14.84632133,83.61767964
59.434922,24.960775,14000,123.456,15.27685511,85.61639544
59.434922,24.960775,15000,123.456,15.40190756,87.85856396
59.434922,24.960775,16000,123.456,15.18603119,89.02616202
59.434922,24.960775,17000,123.456,15.98452532,89.96466425
59.434922,24.960775,18000,123.456,16.1231253,91.59531482
59.434922,24.960775,19000,123.456,16.28808978,93.80584783
59.434922,24.960775,20000,123.456,16.08826712,94.97323876
59.434922,24.960775,21000,123.456,16.39315076,96.82923292
59.434922,24.960775,22000,123.456,16.23885978,98.77467618
59.434922,24.960775,23000,123.456,16.27186739,100.5679573
59.434922,24.960775,24000,123.456,16.8262002,102.7726651
59.434922,24.960775,25000,123.456,16.70203165,105.4649865
59.434922,24.960775,26000,123.456,16.43844614,106.5877826
59.434922,24.960775,27000,123.456,16.36237369,107.7014142
59.434922,24.960775,28000,123.456,17.25226638,109.2248993
59.434922,24.960775,29000,123.456,16.63501489,111.7243844
59.434922,24.960775,30000,123.456,17.04790308,113.8769272
59.434922,24.960775,31000,123.456,16.81283002,115.7103525
59.434922,24.960775,32000,123.456,17.15754454,117.4781905
59.434922,24.960775,33000,123.456,17.44544685,119.4445932
59.434922,24.960775,34000,123.456,17.79462593,120.7322572
59.434922,24.960775,35000,123.456,17.19129642,122.5313691
