lat,long,time,alt,speed,bearing
59.434922,24.960775,0,100,11.3752468,49.36000815
59.434922,24.960775,1000,100.7985159,11.45574757,51.80601057
59.434922,24.960775,2000,100.105622,11.44057947,54.2627595
59.434922,24.960775,3000,99.98010836,11.13334172,57.82343963
59.434922,24.960775,4000,100.2003502,11.12569802,59.86868445
59.434922,24.960775,5000,99.685117,10.97079515,61.73894695
59.434922,24.960775,6000,98.90347646,10.91443189,63.74816103
59.434922,24.960775,7000,98.93297018,11.84509963,66.60310997
59.434922,24.960775,8000,99.18373409,11.9359135,69.29970169
59.434922,24.960775,9000,99.09686874,12.03031737,70.89617436
59.434922,24.960775,10000,99.99712729,11.81560743,74.62402566
59.434922,24.960775,11000,100.7986296,11.90916784,76.45547116
59.434922,24.960775,12000,101.1525426,11.86587158,79.06173878
59.434922,24.960775,13000,101.7415129,11.47437488,81.73274951
59.434922,24.960775,14000,102.2389724,12.01036047,84.58704824
59.434922,24.960775,15000,102.0128212,12.43269037,85.76555389
59.434922,24.960775,16000,102.2054605,12.398665,88.00074118
59.434922,24.960775,17000,102.5376486,12.14369583,90.12592227
59.434922,24.960775,18000,101.8435395,12.20870016,92.92708639
59.434922,24.960775,19000,102.6989703,12.79176434,95.34754929
59.434922,24.960775,20000,103.0251901,12.61701074,98.79068696
59.434922,24.960775,21000,103.8196423,12.25353034,100.7648568
59.434922,24.960775,22000,103.7693203,12.6863196,102.7766976
59.434922,24.960775,23000,104.4263487,13.19895843,104.4614111
59.434922,24.960775,24000,105.4099783,12.67989258,108.1220187
59.434922,24.960775,25000,105.7792491,13.36141183,110.0848234
59.434922,24.960775,26000,106.4373917,12.81075754,112.8486216
59.434922,24.960775,27000,106.0093583,12.89852833,114.5146511
59.434922,24.960775,28000,105.9123215,13.11758617,116.3275642
59.434922,24.960775,29000,105.0365326,13.76212867,117.5827257
59.434922,24.960775,30000,104.5278623,13.20042639,119.2933743
59.434922,24.960775,31000,104.2074485,14.08205094,120.9146978
59.434922,24.960775,32000,105.1648736,14.2512155,123.518
59.434922,24.960775,33000,105.1059579,13.77548108,126.3870953
59.434922,24.960775,34000,105.9157336,13.85906062,128.7183855
59.434922,24.960775,35000,105.4686183,13.98068795,131.4565043
59.434922,24.960775,36000,105.860544,14.30604276,132.2371844
59.434922,24.960775,37000,105.7796394,13.94660146,134.5832375
59.434922,24.960775,38000,106.3236393,14.38660275,136.1988896
59.434922,24.960775,39000,106.650715,14.39573781,138.4907542
59.434922,24.960775,40000,106.0610489,14.67491449,140.1848832
59.434922,24.960775,41000,106.33864,14.51890714,142.1761121
59.434922,24.960775,42000,107.2301044,14.77935655,144.3833819
59.434922,24.960775,43000,107.2038144,15.52726415,145.9265768
59.434922,24.960775,44000,107.7857669,15.49058741,146.9079321
59.434922,24.960775,45000,108.2749455,15.05451363,149.3181581
59.434922,24.960775,46000,109.2284612,15.00710145,150.8796242
59.434922,24.960775,47000,108.8538498,15.2860004,152.3353113
59.434922,24.960775,48000,107.9306502,15.34129505,154.4028
59.434922,24.960775,49000,107.1112807,15.14608368,157.1889491
59.434922,24.960775,50000,106.6333668,15.42124831,159.569663
59.434922,24.960775,51000,105.6423566,15.70830841,161.5541609
59.434922,24.960775,52000,105.7351553,15.98340037,163.3587031
