Velocity,Bearing,ExpectedX,ExpectedY,ExpectedR
41.05440974,35.0349946,0,0,41
41.60351357,38.99362228,0,0,41
40.61153558,42.73428413,0,0,41
40.96334209,46.25984084,0,0,41
40.7025704,48.81560489,0,0,41
40.10221509,51.48660875,0,0,41
41.84190532,53.81293422,0,0,41
40.43287978,57.72539926,0,0,41
41.95171839,60.82485882,0,0,41
40.43906203,63.38709851,0,0,41
41.96055241,66.0959333,0,0,41
41.31599925,68.21888882,0,0,41
41.25254206,70.55829373,0,0,41
41.35276639,73.11887647,0,0,41
41.62506536,76.16299891,0,0,41
41.34795899,78.6385051,0,0,41
41.57079931,81.43518494,0,0,41
40.53975242,83.51998718,0,0,41
40.42086101,86.85813898,0,0,41
41.28330758,90.74208472,0,0,41
40.16892034,93.55382577,0,0,41
41.02294808,97.42757612,0,0,41
41.64187186,101.4062331,0,0,41
41.98348608,103.7246563,0,0,41
41.09085777,106.3941411,0,0,41
40.44452695,109.537335,0,0,41
41.24713672,112.5865669,0,0,41
40.46353735,115.8716217,0,0,41
41.42049584,119.1321866,0,0,41
41.47791261,122.7099157,0,0,41
40.3136072,125.7684959,0,0,41
41.34323396,128.8505556,0,0,41
40.88393237,131.0123335,0,0,41
40.05435836,134.1779254,0,0,41
40.80548259,136.395664,0,0,41
40.64793745,138.4858622,0,0,41
40.86594454,141.0041903,0,0,41
40.59941452,144.3883665,0,0,41
40.98038523,148.2864533,0,0,41
41.40450208,152.1417763,0,0,41
41.41095231,154.7525613,0,0,41
41.974596,158.4966339,0,0,41
41.25268974,160.8995899,0,0,41
40.9775343,163.1204482,0,0,41
41.27879119,165.6099941,0,0,41
40.31956269,167.8094344,0,0,41
41.83431754,171.4950823,0,0,41
40.59132189,174.7631002,0,0,41
40.62560699,177.3227156,0,0,41
41.49012467,179.7552396,0,0,41
41.9733101,181.9019181,0,0,41
41.98274389,185.2234926,0,0,41
40.38018531,188.7220078,0,0,41
40.2873856,192.2421374,0,0,41
41.1104927,195.385194,0,0,41
40.63047501,198.1641883,0,0,41
40.88602808,201.5543239,0,0,41
40.17333578,205.5441942,0,0,41
40.77454167,208.8866065,0,0,41
41.50579606,210.9073533,0,0,41
40.87948945,213.3646966,0,0,41
41.66820847,216.138691,0,0,41
40.53576752,219.6934766,0,0,41
41.79032366,221.8530828,0,0,41
40.37428413,224.1292377,0,0,41
40.1249109,226.1978482,0,0,41
41.83892616,229.3727374,0,0,41
41.50597125,233.259489,0,0,41
41.52268003,236.1137804,0,0,41
40.07584334,239.7198998,0,0,41
40.03537119,243.5875575,0,0,41
41.50245387,245.7600416,0,0,41
40.02368791,249.2169661,0,0,41
41.84741817,251.5656336,0,0,41
41.43485937,254.1955277,0,0,41
40.74764985,257.2748968,0,0,41
40.14856091,260.8373253,0,0,41
40.63759159,262.9477569,0,0,41
40.69732189,265.8085861,0,0,41
41.36613097,269.2542049,0,0,41
40.9539158,272.0851531,0,0,41
40.75172079,274.2017045,0,0,41
40.384914,276.7761076,0,0,41
40.37117417,279.472633,0,0,41
41.75278905,282.9412318,0,0,41
40.19205863,284.9477497,0,0,41
40.99465553,288.3338341,0,0,41
41.53556757,290.8755935,0,0,41
41.41393998,293.7456993,0,0,41
41.29619845,297.0355333,0,0,41
40.29197466,299.4425694,0,0,41
41.34652242,302.2589139,0,0,41
40.55971307,305.1816157,0,0,41
41.61978167,308.9433728,0,0,41
41.26546749,312.6218173,0,0,41
41.49000438,314.844939,0,0,41
40.23277308,317.6990284,0,0,41
41.75878069,321.5859656,0,0,41
40.5231859,323.8647858,0,0,41
40.80979588,327.0993006,0,0,41
41.102024,330.1065851,0,0,41
41.30666935,332.7653489,0,0,41
41.45076644,335.5024359,0,0,41
40.18660298,338.4138467,0,0,41
41.77802542,341.8389986,0,0,41
40.64179348,344.781231,0,0,41
40.95171223,348.665498,0,0,41
40.28251799,352.5624648,0,0,41
41.30821866,356.1899107,0,0,41
40.74025439,358.9980552,0,0,41
41.09014101,1.774634592,0,0,41
40.59615161,4.117790261,0,0,41
41.42227447,6.580958214,0,0,41
41.7096175,10.44741133,0,0,41
41.45631108,13.27017249,0,0,41
40.77374622,15.29803675,0,0,41
40.59787571,18.71909137,0,0,41
41.23875845,20.82565762,0,0,41
40.57523868,24.5740821,0,0,41
41.6215831,26.99443758,0,0,41
40.51724698,30.27544512,0,0,41
40.65915975,33.52786572,0,0,41
41.17871797,37.05812848,0,0,41
41.76499643,40.01103553,0,0,41
41.98474378,42.50031405,0,0,41
40.81296964,45.64045262,0,0,41
40.66105737,48.57337047,0,0,41
40.39930559,50.82981018,0,0,41
41.87581373,52.97003211,0,0,41
40.42313683,55.09611301,0,0,41
40.53884409,58.87743376,0,0,41
41.07797967,62.49538084,0,0,41
41.18764252,65.44280786,0,0,41
40.16093226,68.47591475,0,0,41
41.23504932,71.0772334,0,0,41
41.98334535,73.49477324,0,0,41
40.76179663,75.58181567,0,0,41
40.1061715,78.22467106,0,0,41
41.00778688,81.9860712,0,0,41
40.6251515,85.78898773,0,0,41
41.74917599,88.08509364,0,0,41
40.79544956,91.32695252,0,0,41
40.34403773,94.07528485,0,0,41
41.41230258,97.4343587,0,0,41
40.38758828,99.54304983,0,0,41
40.55370111,102.7723528,0,0,41
41.63865259,105.4818736,0,0,41
41.0430737,107.512942,0,0,41
41.16225835,110.1256266,0,0,41
