Velocity,Bearing,ExpectedX,ExpectedY,ExpectedR
40,35,0,0,40
40,37,0,0,40
40,39,0,0,40
40,41,0,0,40
40,43,0,0,40
40,45,0,0,40
40,47,0,0,40
40,49,0,0,40
40,51,0,0,40
40,53,0,0,40
40,55,0,0,40
40,57,0,0,40
40,59,0,0,40
40,61,0,0,40
40,63,0,0,40
40,65,0,0,40
40,67,0,0,40
40,69,0,0,40
40,71,0,0,40
40,73,0,0,40
40,75,0,0,40
40,77,0,0,40
40,79,0,0,40
40,81,0,0,40
40,83,0,0,40
40,85,0,0,40
40,87,0,0,40
40,89,0,0,40
40,91,0,0,40
40,93,0,0,40
40,95,0,0,40
40,97,0,0,40
40,99,0,0,40
40,101,0,0,40
40,103,0,0,40
40,105,0,0,40
40,107,0,0,40
40,109,0,0,40
40,111,0,0,40
40,113,0,0,40
40,115,0,0,40
40,117,0,0,40
40,119,0,0,40
40,121,0,0,40
40,123,0,0,40
40,125,0,0,40
40,127,0,0,40
40,129,0,0,40
40,131,0,0,40
40,133,0,0,40
40,135,0,0,40
40,137,0,0,40
40,139,0,0,40
40,141,0,0,40
40,143,0,0,40
40,145,0,0,40
40,147,0,0,40
40,149,0,0,40
40,151,0,0,40
40,153,0,0,40
40,155,0,0,40
40,157,0,0,40
40,159,0,0,40
40,161,0,0,40
40,163,0,0,40
40,165,0,0,40
40,167,0,0,40
40,169,0,0,40
40,171,0,0,40
40,173,0,0,40
40,175,0,0,40
40,177,0,0,40
40,179,0,0,40
40,181,0,0,40
40,183,0,0,40
40,185,0,0,40
40,187,0,0,40
40,189,0,0,40
40,191,0,0,40
40,193,0,0,40
40,195,0,0,40
40,197,0,0,40
40,199,0,0,40
40,201,0,0,40
40,203,0,0,40
40,205,0,0,40
40,207,0,0,40
40,209,0,0,40
40,211,0,0,40
40,213,0,0,40
40,215,0,0,40
40,217,0,0,40
40,219,0,0,40
40,221,0,0,40
40,223,0,0,40
40,225,0,0,40
40,227,0,0,40
40,229,0,0,40
40,231,0,0,40
